Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Movies	I would rather be a ghost drifting by your side as a condemned soul than enter heaven without you. Because of your love, I will never be a lonely spirit. (2000)	Don Juan DeMarco	Ever After	Crouching Tiger, Hidden Dragon	Dracula	Crouching Tiger, Hidden Dragon
Movies	There are only four questions of value in life. What is sacred? Of what is the spirit made of? What is worth living for? What is worth dying for? The answer to each is the same. Only love. (1995)	When Harry Met Sally	Don Juan DeMarco	Cant Hardly Wait	Ten Things I Hate About You	Don Juan DeMarco
Movies	I have crossed oceans of time to find you. (1992)	Moulin Rouge	Notting Hill	A Knights Tale	Dracula	Dracula
Movies	I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)	When Harry Met Sally	Wuthering Heights	Youve Got Mail	The Mask of Zorro	When Harry Met Sally
Movies	Love has given me wings so I must fly. (2001)	A Knights Tale	Phenomenon	Ever After	Forget Paris	A Knights Tale
Movies	Love? Above all things I believe in love! Love is like oxygen! Love is a many splendored thing, love lifts us up where we belong, all you need is love! 	Hope Floats	Some Like It Hot	Casablanca	Moulin Rouge	Moulin Rouge
Movies	It doesnt matter if the guy is perfect or the girl is perfect, as long as they are perfect for each other. (1997)	Forest Gump	The Shawshank Redemption	Citizen Kane	Good Will Hunting	Good Will Hunting
Movies	I am someone else when Im with you, someone more like myself. (2001)	Sunrise: A Song of Two Humans	Trouble in Paradise	In America	Original Sin	Original Sin
Movies	If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)	Romeo and Juliet	Wuthering Heights	Shakespeare in Love	Sideways	Wuthering Heights
Movies	Take love, multiply it by infinity and take it to the depths of forever� and you still have only a glimpse of how I feel for you. (1998)	Moulin Rouge	My Best Friends Wedding	Message In A Bottle	Meet Joe Black	Meet Joe Black
Movies	One of these James Bond movies was not released during the 80s.	A View to a Kill	Octopussy	Moonraker	For Your Eyes Only	Moonraker
Movies	It is a dark time for the	Back to the Future	The Final Countdown	The Hitch Hikers Guide to the Galaxy	The Empire Strikes Back	The Empire Strikes Back
Movies	This is Babys real name in Dirty Dancing (1987).	Barbara	Frances	Susan	Jennifer	Frances
Movies	In A Nightmare On Elm Street, Nancy lives on Elm Street, located in this fictional city in Ohio.	Derry	Ambervale	Springwood	Blackwood County	Springwood
Movies	In the movie Rain Man, Raymond and Charlie are at the restaurant when a waitress drops a box of toothpicks. This prompts Raymond to instantly calculate the number of toothpicks on the floor. This was their number.	246	250	321	123	246
Movies	One of these actors did not star in Tootsie.	Jessica Lange	Teri Garr	Dustin Hoffman	Larry Gelbart	Larry Gelbart
Movies	Axel Foley in Beverly Hills Cop is originally a policeman from this city.	Detroit	Chicago	Denver	San Fransisco	Detroit
Movies	Indiana Jones from the movie of the same name could write and speak this number of languages.	11	27	2	6	27
Movies	A group of Earth children help a stranded alien botanist return home is the plot outline of this movie.	Star Wars: Episode VI - Return of the Jedi	The Hitch Hikers Guide to the Galaxy	Cyborg	E.T. the Extra-Terrestrial	E.T. the Extra-Terrestrial
Movies	What year did the movie The Shawshank Redemption hit the movie theatres?	1992	1994	1990	1996	1994
Movies	What was the name of the Warden in the hit movie The Shawshank Redemption ?	Byron Hadley	Samuel Norton	Ellis Redding	Spencer Heywood	Samuel Norton
Movies	What decade was Andy Dufresne sent to the Shawshank prison in the movie The Shawshank Redemption?	1940s	1920s	1930s	1950s	1940s
Movies	In the popular movie The Shawshank Redemption Andy Dufresne has a poster hanging on his wall in his jail cell. Who is the famous actress on this poster?	Greta Garbo	Jayne Mansfield	Rita Hayworth	Bette Davis	Rita Hayworth
Movies	In the movie The Shawshank Redemption Andy Dufresne had a best friend in jail named Red. Why did they call him Red?	He had red hair.	It was short for his last name.	His favorite color was red.	He had a horrible temper.	It was short for his last name.
Movies	Andy Dufresne, the main character in the movie The Shawshank Redemption, asks Captain Byron Hadley for some suds for his fellow workers, while they are working together on the roof. What kind of beer did the prisoners get?	Strohs	Budweiser	Amstel	Heineken	Strohs
Movies	Clancy Brown, who played Captain Byron Hadley in The Shawshank Redemption, appeared in a 1983 movie with actor Sean Penn.	False	True			True
Movies	In the movie The Shawshank Redemption, what was Reds jail cell number?	237	125	416	444	237
Movies	Does Andy Dufresne escape in the movie The Shawshank Redemption?	No	Yes			Yes
Movies	Who was the director of the hit movie The Shawshank Redemption?	Ron Howard	Rob Reiner	Frank Darabont	Shimon Bentzvi	Frank Darabont
Movies	What was the budget for the movie The Shawshank Redemption?	$3,000,000	$ 100,000	$ 10,000,000	$ 25,000,000	$ 25,000,000
Movies	In the movie The Shawshank Redemption, the prisoners are shown watching what movie?	Gilda	Its a Mad Mad World	Happy girl 1223 Strikes Again	The Three Stooges	Gilda
Movies	Who directed the blockbuster movie Forrest Gump?	Steven Soderbergh	Robert Zemeckis	Tony Scott	John Hughes	Robert Zemeckis
Movies	In the opening scene of the movie Forrest Gump, Forrest is sitting on a bench waiting to catch a bus in what southern U.S. city?	Birmingham	Atlanta	Columbia	Savannah	Savannah
Movies	Which U.S. president did Forrest NOT get to meet in person in the movie Forrest Gump?	Gerald Ford	Lyndon B. Johnson	John F. Kennedy	Richard M. Nixon	Gerald Ford
Movies	In the movie Forrest Gump, Mrs. Gump (played by Sally Field) ran a boarding house where a young Forrest taught one of the special guests how to dance. Who was this special guest?	Fred Astaire	Elvis Presley	Dick Van Dyke	Gene Kelly	Elvis Presley
Movies	In the self-titled movie, Forrest Gump appears on the Dick Cavett Show to talk about his visit to China.  Who was the other guest on the Dick Cavett Show sitting next to Forrest, wearing a U.S. Army jacket?	Abbie Hoffman	Jane Fonda	John Lennon	John Wayne	John Lennon
Movies	In the movie Forrest Gump, Forrest joins the U.S. Army and becomes best friends with Benjamin Buford Blue (played by Mykelti Williamson). What was Benjamins nickname?	Beau	Billy	Bennie	Bubba	Bubba
Movies	For which university did fictional character Forrest Gump play college football, earning All-American honors?	University of Alabama	University of Florida	Auburn University	University of Georgia	University of Alabama
Movies	In the movie Forrest Gump, Jenny (played by Robin Wright-Penn) and Forrest were childhood friends. As they got older, Forrest went into the U.S. Army and Jenny became a folk singer at a local strip club, using this stage name.	Johnnie Cash	Abby Hoffman	Mickey Jagger	Bobbie Dylan	Bobbie Dylan
Movies	The famous fictional character Forrest Gump wins the Congressional Medal of Honor by saving most of the men in his squad. Forrest himself is wounded during his heroic rescue. Where is Forrest wounded?	in the stomach	in the arm	in the leg	in the buttocks	in the buttocks
Movies	The Forrest Gump soundtrack was hugely popular, selling over 12 million copies. Which song/artist was not on the Forrest Gump soundtrack?	Satisfaction by The Rolling Stones	Break on Through (To the Other Side) by The Doors	California Dreamin by The Mamas and the Pappas	Fortunate Son by CCR	Satisfaction by The Rolling Stones
Movies	What was Forrests favorite book in the movie Forrest Gump?	Cat in the Hat	Alice in Wonderland	The Chronicles of Narnia	Curious George	Curious George
Movies	In the movie Forrest Gump, what were the last words uttered by Pvt. Benjamin Blue to Forrest, just before he died?	I want my Mama	I want to go home	Am I going to make it?	What are we doing here?	I want to go home
Movies	In the movie Forrest Gump, this actor played Lt. Dan Taylor, the commanding officer of Forrest when he first arrived in Vietnam.	Gary Sinise	Jack Nicholson	Ed Harris	Robert Duvall	Gary Sinise
Movies	Which 2001 movie is this audio clip from?	First Knight	A Knights Tale	Robin Hood: Prince of Thieves	Black Knight	A Knights Tale
Movies	The movie Back to the Future, directed by Robert Zemeckis, was released in what year?	1955	1986	1987	1985	1985
Movies	What was the name of Doc Browns dog in the film Back to the Future?	Shep	Einstein	Edsel	Shaggy	Einstein
Movies	In the movie Back to the Future, Martys actions in 1955 change the name of the mall where he and Doc meet in 1985, to secretly  test the time machine.	True	False			True
Movies	In the movie Back to the Future, when Marty is in the diner in 1955, he asks for what kind of drink?	something without sugar	All of these	Tab	Pepsi free	All of these
Movies	In Back to the Future, Doc Brown invented this device, which in his words is what makes time travel possible.	transference capacitor	jauntinator	transcendental tripometer	flux capacitor	flux capacitor
Movies	In 1955, Doc Brown, one of the lead characters in Back to the Future lives on which street?	Maplewood Ave	John F. Kennedy Drive	Pine St	Riverside Drive	Riverside Drive
Movies	Where does Martys older brother work in 1985 in the movie Back to the Future?	McDonalds	Burger King	Taco Bell	Wendys	Burger King
Movies	In 1955, when trying to convince his teenage father George McFly to ask Lorraine out, Marty appears in a radiation suit and says his name is what?	Mr. Spock	Captain Kirk	Luke Skywalker	Darth Vader	Darth Vader
Movies	In the film Back to the Future, in 1955 Martys parents were supposed to go  a school dance, named what?	Enchantment Under the Sea	Enchanted Future	Sadie Hawkins Day Dance	Fish Under the Sea	Enchantment Under the Sea
Movies	Doc Brown, the inventor in the movie Back to the Future, makes a time machine out of a Lamborghini.	False	True			False
Movies	In the film Back to the Future, the building where the diner was located in 1955, houses what type of studio in 1985?	Art studio	Recording studio	None of these	Aerobics studio	Aerobics studio
Movies	In Back to the Future, what did Goldie Wilson do in 1955, before becoming mayor?	Played in Marvin Berrys rock and roll group	He was a drifter	Pumped gas at the filling station	Worked in the diner	Worked in the diner
Movies	Musician Huey Lewis appeared in the movie Back to the Future.	False	True			True
Movies	In the movie The Wizard of Oz, the part of Dorothy was played by Hollywood legend Judy Garland. How old was Judy during the making of the movie?	22	18	15	16	16
Movies	What was the last name of Dorothy, the main character in the 1939 movie, The Wizard of Oz?	It was never mentioned	Grey	Gulch	Gale	Gale
