Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Brain-Teasers	Which of these is true about the sleep of zebras?	All of these	They sleep standing up.	They would fall asleep every 5 to 6 hours.	They need more than 12 hours of sleep a day.	They sleep standing up.
Brain-Teasers	A farmer had 12 sheep and 3 cows. All of the animals except 9 sheep died. How many animals did he have left in his farm?	5 cows and 1 sheep	9 sheep	2 cows	none	9 sheep
Brain-Teasers	I dont speak, I cannot hear, but I always tell the truth.	The watch	Fish	The Mirror	Old granny	The Mirror
Brain-Teasers	Can a Roman Catholic man from California marry his widows sister who is from Texas?	Yes	No			No
Brain-Teasers	How does this proverb continue: The squeaking wheel gets ...	The rust	Removed	The broken	The grease	The grease
Brain-Teasers	An old man was looking at a photograph of a young man. Somebody asked him who it was. The mans answer was the following: Brothers and sisters, I have none. But that mans father is my fathers son. Who was in the photograph?	His cousin	His grandfather	His son	His nephew	His son
Brain-Teasers	A shepherd from a village tended the sheep of those of his fellow villagers who did not tend their own. However, he did not tend the sheep of those villagers who tended their own sheep. In that village, there was only one shepherd and he also had several sheep. Can all this be true?	Yes	No			No
Brain-Teasers	A famous story begins like that, It was a clear summer day and my family was preparing dinner for the New Years Eve. Can this story be true?	Yes	No			Yes
Brain-Teasers	In a basket there are five apples. We give the five apples to five kids so that each kid receives an apple. However, in the basket there is still one apple. Is this possible?	Yes	No			Yes
Brain-Teasers	Two days ago my son was three years old and next year he will be 6.  This could be a correct statement.	False	True			True
Brain-Teasers	The single difference between the two cities A and B was that the citizens of A always said the truth, while the citizens of B never did. Once, a man who had never been to either city arrived at one of them. Which question should the man have asked in order to identify the city he was in? Have in mind, that people from A often visited their friends in B and vice versa.	How old are you?	Are you married?	Is this city A ?	Are you a citizen of this city?	Are you a citizen of this city?
Brain-Teasers	You have two right triangles. The sides of the first one are 3 m, 4 m and 5 m. The sides of the second are 3 m, 4 m and 7 m. The area of the second triangle is bigger.	True	False			False
Brain-Teasers	What number comes next in the row - 31, 28, 31, 30, ?	32	31	30	29	31
Brain-Teasers	If you were running a race and passed the person in second place, what place would you be in?	1st	2nd	3rd	Out of the race	2nd
Brain-Teasers	What number comes next: 1, 11, 21, 1211, 111221, 312211, 13112221?	131122211211	11221311	31221113112221	1113213211	1113213211
Brain-Teasers	What is the largest number you can write out with numbers 1, 2, and 3?	10,460,353,203	6	123	321	10,460,353,203
Brain-Teasers	John went to a party one night.  The next day he was asked if he met a lot people at the gathering.  Figure it out for yourself, John said.  Of the girls I spoke to, all but two were blondes, all but two were brunettes, and all but two were redheads.  How many girls did he talk to?	3	6	4	2	3
Brain-Teasers	A kid found two old coins. The first coin said it was minted in 43 BC, while the other said it was minted during the reign of Emperor Nicholas I. Which of the coins was fake?	Neither one	Both	The one minted during the reign of Emperor Nicholas I	The one minted in 43 BC	Both
Brain-Teasers	A contestant on a TV show had to answer 26 questions. For each correct answer he received 8 points, while a wrong answer penalized him 5 points. How many answers did the man answer correctly, bearing in mind that he eventually had 0 points?	12	8	16	10	10
Brain-Teasers	Lets suppose that I offer you a bet under the following conditions: I bet $1 and claim that if you give me $5 I will give you $99 in return. Will you gain something from this bet?	Yes	No			No
Brain-Teasers	You can put something between the digits 2 and 3 so that the resultant number is bigger than 2 and smaller than 3.	True	False			True
Brain-Teasers	A row consists of 10 letters. The first six are - Z, O, T, T, F, F.  Which is the tenth letter?	T	E	S	N	N
Brain-Teasers	You have a square and a circle and the perimeter of the square is equal to the circumference of the circle. Which of the two figures covers a bigger area?	The square	The circle	No conclusion can be drawn from the given information.	Both cover the same are.	The circle
Brain-Teasers	Sometimes we see 10 but say 22, see 4 but say 16.	False	True			True
Brain-Teasers	Can you build a house so that all its walls face north?	Yes	No			Yes
