Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Video-Games	In what fictional city is the TV show Futurama set?	New Chicago	New New York	New San Francisco	None of these	New New York
Video-Games	What is the lowest ranking species in the Covenant hierarchy in the Halo series?	Drone	Brute	Elite	Grunt	Grunt
Video-Games	Who controls the Flood in the Halo series?	Gravemind	The Prophet of Truth	The Arbiter	No one	Gravemind
Video-Games	What is a SPARTAN in the Halo series?	A Genetically modified super soldier	A higher ranking soldier than a ODST	Troopers that went through military training at the age of five	All of these	All of these
Video-Games	What species is the Didact in the Halo series?	Forerunner	Precursor	Promethean	Yamne	Forerunner
Video-Games	In the Halo series, Zealots use Energy Swords.	True	False			True
Video-Games	Which of the following does the UNSC use to transport troops in the halo series?	Falcons	Hornets	Phantoms	Pelicans	Pelicans
Video-Games	What does UNSC stand for in the Halo series?	None of the above	United Nations Space Council	United Nations Space Command	Unified Nations Supreme Court	United Nations Space Command
Video-Games	What is the largest UNSC ship in the Halo series?	UNSC In Amber Clad	UNSC Infinity	UNSC Spirit of Fire	UNSC Pillar of Autumn	UNSC Infinity
Video-Games	What city does Halo 3 ODST take place in?	Voi	New Mombasa	Toronto	New York	New Mombasa
Video-Games	What is the largest species of the Covenant in the Halo series?	Brute	Hunter	Jackal	Elite	Hunter
Video-Games	Who made the fictional Mother Brain and for what purpose?	The Galactic Federation built her as a next generation Aurora Unit.	It is unknown who made her but she was made to control Zebes.	The Space Pirates built her to be one of their generals.	The Chozo built her to be a organic Supercomputer.	The Chozo built her to be a organic Supercomputer.
Video-Games	How did the Alimbics become extinct in the Metroid series?	They discovered Phazon and developed Phazon Madness causing them to wipe each other out.	Gorea wiped them out.	The entire species used up their life energy to imprison Gorea.	The Metroids wiped them out.	The entire species used up their life energy to imprison Gorea.
Video-Games	What creature passes on the X Parasite to Samus in the Metroid series?	Metroid	Space Pirate	Kihunter	Hornoad	Hornoad
Video-Games	Who is the Deleter in the Metroid series?	Lyle Smithsonian	Adam Malkovich	K.G Misawa	James Pierce	James Pierce
Video-Games	Kraid is the only one of his species encountered in the Metroid game.	True	False			False
Video-Games	What do Steamlords keep as pets in the Metroid series of games?	Steambot	Warp Hound	Steamspider	Vaporwing	Vaporwing
Video-Games	An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?	Worm	Beast	Destroyer	Consumer	Worm
Video-Games	King Worm can be fought after Mother Brainin Metroid Zero Mission.	True	False			True
Video-Games	What planet are Kihunters from in the Metroid games?	Space Pirate Homeworld	Unknown	SR388	Zebes	Unknown
Video-Games	What planet is Samus from  in the Metorid games?	It is unknown	K-2L	Norion	Zebes	K-2L
Video-Games	What is the name of the enemy faction in the first N.O.V.A?	Xenos	Volterites	Judgers	The Dominion	Xenos
Video-Games	The N.O.V.A 3 Shotgun is both semi and fully automatic.	False	True			True
Video-Games	On which planet does the first two missions in N.O.V.A 2 take place?	Sagittarius	Earth	New Ceres	Aquarius	Aquarius
Video-Games	Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?	Prometheus	Yelena	MazRah	Rufus	MazRah
Video-Games	In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.	False	True			True
Video-Games	Who is the leader of the Volterites in N.O.V.A?	MazRah	None of the above	Prometheus	The Overseer	The Overseer
Video-Games	Which Xeno is capable of teleporting in N.O.V.A?	Heavy Demon	Red Demon	Imp	Fiend	Heavy Demon
Video-Games	In N.O.V.A, President Folson is unarmed.	False	True			False
Video-Games	Boreas is the only desert planet in the N.O.V.A series.	False	True			False
Video-Games	What is the name of the damsel you have to save in the classic arcade game Donkey Kong?	Peach	Daisy	Pauline	Dixie Kong	Pauline
Video-Games	Which of these was a name that game character, Mario, was once called?	Koopa	Plumberio	Jumpman	Luigi	Jumpman
Video-Games	Who or what turned Warios treasure into monsters in the game, Wario World?	Kemmy Koopa	Lemmy Koopa	The black jewel	Bowser	The black jewel
Video-Games	In the Mario games, what animal is a paratroopa?	A bird	A lizard	A turtle	A tiger	A turtle
Video-Games	When first created, Mario game character, Birdo, was what?	A dog	A boy	A girl	A bird	A boy
Video-Games	In the video games of Mario, is Luigi Marios cousin?	No	Yes			No
Video-Games	In the Mario video games, Bowser is the king of what?	Bowsers	The Jungle	Mushroom Kingdom	Koopas	Koopas
Video-Games	Who is the last boss in video game Paper Mario 2?	Gloom Tail	Bowser	Shadow Queen	Cackletta	Shadow Queen
Video-Games	Which movie is this Warcraft 3 quote from?	For a Fistful of Dollars	Dirty Sanchez	Cool Hand Luke	Metal Man	Cool Hand Luke
Video-Games	Where does the popular video game character Mario live?	The Koopa Kingdom	The Kingdom of Sarasaland	The Mushroom Kingdom	Yoshi Island	The Mushroom Kingdom
Video-Games	What is Marios nationality according to Nintendo video games?	Italian	American	Mexican	British	Italian
Video-Games	Has the video game character Mario ever been in a TV show?	No	Yes			Yes
Video-Games	What was the first video game in which Mario appeared?	Mario	The Mario Bros.	Super Mario	Donkey Kong	Donkey Kong
Video-Games	Why does Mario wear a red cap in the Mario series of games?	The creators didnt have the technology to animate his hair.	He is bald.	He cant make his hair neat.	He likes his cap.	The creators didnt have the technology to animate his hair.
Video-Games	Has Nintendo character Mario ever been a bad guy?	No	Yes			Yes
Video-Games	What does the Fire Flower do to Mario in the Mario video games?	Allows him to breath fire.	Nothing	It makes him angry.	Allows him to throw fire balls.	Allows him to throw fire balls.
