Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
For-Kids	What is NOT one of Strong Bads favorite bands in the Internet cartoon Homestar Runner?	sloshy	Peter Frampton	Limozeen	Taranchula	sloshy
For-Kids	Speaking of the famous fairy tale, that girl with the long hair was named which of these plants?	Rampion	Turnip	Lettuce	Safflower	Rampion
For-Kids	Sleeping Beauty pricked her finger on the part of a spinning wheel that does this.	Collects the finished thread	Powers the wheel	Twists the fibres into a thread	Sorts the finished threads	Twists the fibres into a thread
For-Kids	Why does Cinderella wear a glass slipper?	Glass shoes sound like something a princess would wear.	Vair (fur), was mistaken for verre (glass).	They were a symbol of her purity.	Glass shoes were worn by royalty.	Glass shoes sound like something a princess would wear.
For-Kids	The Little Mermaid refused to kill the prince, so she eventually ends up as this.	A block-buster animated film.	Foam on the waves.	A mermaid again.	A daughter of the air.	A daughter of the air.
For-Kids	Only one of the following descriptions of the features of Snow White is true.  Can you spot it?	Hemophiliac lips.	Rosaceae cheeks.	Ice crystal eyes.	Wooden hair.	Wooden hair.
For-Kids	Referring to a well-known fairy tale, the millers daughter had to spin what?	Dried stalks of marsh plant.	Dry stalks of grass.	Dry stalks of corn.	Dry stalks of wheat.	Dry stalks of wheat.
For-Kids	The witch in Hansel and Gretel was probably raised in this part of the world.	England	Italy	Eastern Europe	The Middle East	Eastern Europe
For-Kids	Referring to the popular fairy tale, what is the name of the goose girls enchanted horse?	Saladin - righteousness	Fallow - pale in colour	Falada - to speak	Salada - white as salt	Falada - to speak
For-Kids	Poor Eliza of the famous fairy tale, had to make eleven shirts of what plant?	Belladonna	Urticaria	Belonidae	Urticaceae	Urticaceae
For-Kids	How many siblings does Ron have?	6	8	3	none	6
For-Kids	What does Ron hate the most about himself?	Being poor	Being the youngest boy in his family	Being unpopular	Not being in Slytherin	Being poor
For-Kids	Who does Ron take to the Yule ball?	Parvati Patil	Padma Patil	Hermione Granger	Ginny Weasley	Padma Patil
For-Kids	Rons mom is part of the order of the phoenix.	True	False			True
For-Kids	What is Rons full name?	Ronald Perkins Weasley	Ronald Arthur Weasley	Ronald J. Weasley	Ronald Bilius Weasley	Ronald Bilius Weasley
For-Kids	Has Ron ever been dead?	No	Yes			No
For-Kids	Who is Rons idol?	Oliver Wood	Cedric Diggory	Viktor Krum	Harry Potter	Viktor Krum
For-Kids	In which of the first six books does Ron face Voldemort?	Goblet of Fire	Never	Half-Blood Prince	Sorcerers Stone	Never
For-Kids	Which charm did Doby the House Elf use to get Harry Potter in huge trouble with his Uncle?	A clutter charm	A disturbance charm	A flutter charm	A hover charm	A hover charm
For-Kids	What is the full name of Harry Potters Headmaster, as revealed in the 5th book?	Albus Abelforth Wulfric Brian Dumbledore	Albus Nicholas Abelforth Dumbledore	Albus Percival Wulfric Brian Dumbledore	Albus Wulfric Nicholas Dumbledore	Albus Percival Wulfric Brian Dumbledore
